year,division,gender,event_code,place,athlete,class_year,team,time,meet,meet_date,qualifying_cutoff,qualifies
2018,D1,men,200,1,"Norman, Michael",SO-2,USC,19.84,2018 Pac-12 Track & Field Championships,"May 12, 2018",48,True
2018,D1,men,200,2,"Ewers, Andre",JR-3,Florida State,19.98,ACC Outdoor Championships,"May 10, 2018",48,True
2018,D1,men,200,3,"Titi, Ncincilili",SR-4,South Carolina,20.0,USC Open,"Apr 21, 2018",48,True
2018,D1,men,200,4,"Hall, Elijah",SR-4,Houston,20.11,Home Depot Clyde Littlefield Texas Relays,"Mar 28, 2018",48,True
2018,D1,men,200,5,"Oduduru, Divine",SO-2,Texas Tech,20.13,Big 12 Conference Outdoor Track and Field Championships,"May 11, 2018",48,True
2018,D1,men,200,6,"Williams, Kendal",JR-3,Georgia,20.15,SEC Outdoor Track and Field Championships,"May 11, 2018",48,True
2018,D1,men,200,7,"Flournoy, Jaron",JR-3,LSU,20.23,LSU Invitational,"Apr 28, 2018",48,True
2018,D1,men,200,8,"Bacon, Jaylen",SR-4,Arkansas State,20.25,Sun Belt Outdoor Track and Field Championships,"May 11, 2018",48,True
2018,D1,men,200,8,"Williams, Mustaqeem",JR-3,Tennessee,20.25,SEC Outdoor Track and Field Championships,"May 11, 2018",48,True
2018,D1,men,200,10,"Gillespie, Cravon",JR-3,Oregon,20.26,2018 Pac-12 Track & Field Championships,"May 12, 2018",48,True
2018,D1,men,200,11,"Morris, Julius",SR-4,Western Kentucky,20.32,2018 Conference USA Outdoor Track & Field Championships,"May 10, 2018",48,True
2018,D1,men,200,12,"Walter, Keitavious",JR-3,Alabama,20.33,SEC Outdoor Track and Field Championships,"May 11, 2018",48,True
2018,D1,men,200,13,"Jefferson, Chris",JR-3,Sam Houston St.,20.37,Southland Conference Outdoor Track & Field Championships,"May 4, 2018",48,True
2018,D1,men,200,14,"Harrison, Eric",FR-1,Ohio State,20.39,Big Ten Championships,"May 11, 2018",48,True
2018,D1,men,200,14,"Allen, Nathon",SO-2,Auburn,20.39,Tiger Track Classic 2018,"Apr 13, 2018",48,True
2018,D1,men,200,16,"Laird, Terrance",FR-1,Penn State,20.41,Florida Relays,"Mar 29, 2018",48,True
2018,D1,men,200,17,"Rowe, Rodney",JR-3,N. Carolina A&T,20.42,MEAC Outdoor Track & Field Championships,"May 3, 2018",48,True
2018,D1,men,200,18,"Reese, Riak",SR-4,Kent State,20.43,Florida Relays,"Mar 29, 2018",48,True
2018,D1,men,200,19,"Quinn, Devin",JR-3,Illinois,20.45,Ole Miss Classic,"Mar 31, 2018",48,True
2018,D1,men,200,20,"Peebles, Dylan",SO-2,North Carolina St.,20.46,UF Tom Jones Memorial,"Apr 13, 2018",48,True
2018,D1,men,200,20,"Resais , Cliff",SR-4,SE Louisiana,20.46,Southland Conference Outdoor Track & Field Championships,"May 4, 2018",48,True
2018,D1,men,200,22,"James, Amir",SR-4,Northwestern St.,20.47,Southland Conference Outdoor Track & Field Championships,"May 4, 2018",48,True
2018,D1,men,200,23,"Montgomery, Kahmari",JR-3,Houston,20.48,The American Outdoor Track & Field Championships,"May 11, 2018",48,True
2018,D1,men,200,23,"Burke, Mario",JR-3,Houston,20.48,The American Outdoor Track & Field Championships,"May 11, 2018",48,True
2018,D1,men,200,25,"Smith, Terrell",SR-4,Kansas State,20.49,Texas Tech Corky/Crofoot Shootout,"Apr 27, 2018",48,True
2018,D1,men,200,26,"Hudson, Andrew",JR-3,Texas Tech,20.51,Big 12 Conference Outdoor Track and Field Championships,"May 11, 2018",48,True
2018,D1,men,200,26,"Girk, Ryan",SR-4,Grand Canyon,20.51,Western Athletic Conference Outdoor Track and Field Champion,"May 9, 2018",48,True
2018,D1,men,200,26,"Guevara, Asa",SR-4,UTEP,20.51,2018 Desert Heat Classic,"Apr 28, 2018",48,True
2018,D1,men,200,29,"Igbokwe, Obi",JR-3,Arkansas,20.52,SEC Outdoor Track and Field Championships,"May 11, 2018",48,True
2018,D1,men,200,29,"Cotton, Kenzo",SR-4,Arkansas,20.52,SEC Outdoor Track and Field Championships,"May 11, 2018",48,True
2018,D1,men,200,31,"Richard, Tyrell",JR-3,South Carolina St.,20.53,MEAC Outdoor Track & Field Championships,"May 3, 2018",48,True
2018,D1,men,200,31,"Larkins, Micah",JR-3,Northwestern St.,20.53,Southland Conference Outdoor Track & Field Championships,"May 4, 2018",48,True
2018,D1,men,200,33,"Patterson, Shannon",JR-3,North Carolina St.,20.54,ACC Outdoor Championships,"May 10, 2018",48,True
2018,D1,men,200,34,"Devonish, Anderson",SR-4,Illinois State,20.55,2018 MVC Outdoor Track & Field Championships,"May 11, 2018",48,True
2018,D1,men,200,34,"Gray, Nick",JR-3,Ohio State,20.55,Big Ten Championships,"May 11, 2018",48,True
2018,D1,men,200,34,"Kemp, Demek",JR-3,South Carolina St.,20.55,USC Open,"Apr 21, 2018",48,True
2018,D1,men,200,37,"West, McKinely",JR-3,Southern Miss.,20.56,2018 Conference USA Outdoor Track & Field Championships,"May 10, 2018",48,True
2018,D1,men,200,37,"McConico, Kwantreyl",JR-3,Tennessee,20.56,Florida Relays,"Mar 29, 2018",48,True
2018,D1,men,200,39,"Howell, Renard",SR-4,LSU,20.57,LSU Invitational,"Apr 28, 2018",48,True
2018,D1,men,200,39,"James, Tre",SO-2,Southern Utah,20.57,Big Sky Outdoor Track & Field Championships,"May 8, 2018",48,True
2018,D1,men,200,41,"Shinnick, Zach",FR-1,USC,20.58,USC Power 5 Challenge,"Mar 23, 2018",48,True
2018,D1,men,200,42,"Mosby, Correion",JR-3,LSU,20.59,LSU Invitational,"Apr 28, 2018",48,True
2018,D1,men,200,42,"Hayes, Jared",FR-1,Troy,20.59,Sun Belt Outdoor Track and Field Championships,"May 11, 2018",48,True
2018,D1,men,200,44,"Woodard, Antonio",SO-2,Iowa,20.61,2018 Willie Williams Classic - College/Open,"Mar 16, 2018",48,True
2018,D1,men,200,44,"St Hillaire, Dwight",FR-1,Kentucky,20.61,Florida Relays,"Mar 29, 2018",48,True
2018,D1,men,200,44,"Willis, Maxwell",SO-2,Baylor,20.61,Big 12 Conference Outdoor Track and Field Championships,"May 11, 2018",48,True
2018,D1,men,200,47,"Harris, Micaiah",FR-1,Texas,20.62,Big 12 Conference Outdoor Track and Field Championships,"May 11, 2018",48,True
2018,D1,men,200,47,"Williams, Waseem",SO-2,Purdue,20.62,2018 Louisville Invitational,"Apr 13, 2018",48,True
2018,D1,men,200,49,"Amoah, Joseph",SO-2,Coppin State,20.63,MEAC Outdoor Track & Field Championships,"May 3, 2018",48,False
2018,D1,men,200,49,"Okeze, Charles",JR-3,Arkansas-Little Rock,20.63,ASU Red Wolf Open,"Apr 20, 2018",48,False
2018,D1,men,200,51,"Kowalchuk, Karson",SO-2,Miss State,20.64,SEC Outdoor Track and Field Championships,"May 11, 2018",48,False
2018,D1,men,200,51,"Sani-Brown, Hakim",FR-1,Florida,20.64,National Relay Championships,"Apr 27, 2018",48,False
2018,D1,men,200,53,"Moffett, Malik",SR-4,Penn State,20.65,Big Ten Championships,"May 11, 2018",48,False
2018,D1,men,200,54,"Timpson, Jr, Michael",JR-3,Florida,20.66,UF Tom Jones Memorial,"Apr 13, 2018",48,False
2018,D1,men,200,55,"Lamb, Cordell",SR-4,Clemson,20.67,ACC Outdoor Championships,"May 10, 2018",48,False
2018,D1,men,200,55,"Maguranyanga, Kundai",FR-1,Drake,20.67,2018 MVC Outdoor Track & Field Championships,"May 11, 2018",48,False
2018,D1,men,200,57,"Ross, Elijah",SR-4,Arkansas State,20.68,Sun Belt Outdoor Track and Field Championships,"May 11, 2018",48,False
2018,D1,men,200,58,"Flowers, Darrion",JR-3,TCU,20.69,Big 12 Conference Outdoor Track and Field Championships,"May 11, 2018",48,False
2018,D1,men,200,59,"Davis, Josh",JR-3,Alabama State,20.7,SWAC Outdoor Track and Field Championship,"May 4, 2018",48,False
2018,D1,men,200,59,"Johnson, Jabari",SO-2,Appalachian State,20.7,Sun Belt Outdoor Track and Field Championships,"May 11, 2018",48,False
2018,D1,men,200,59,"Smith, Xavier",SR-4,Penn State,20.7,Big Ten Championships,"May 11, 2018",48,False
2018,D1,men,200,62,"Jones-Roundtree, Ade",FR-1,Pittsburgh,20.71,ACC Outdoor Championships,"May 10, 2018",48,False
2018,D1,men,200,62,"Williams, Jordan",SO-2,Bethune-Cookman,20.71,MEAC Outdoor Track & Field Championships,"May 3, 2018",48,False
2018,D1,men,200,62,"Matiyenga, Tinotenda",FR-1,TCU,20.71,Big 12 Conference Outdoor Track and Field Championships,"May 11, 2018",48,False
2018,D1,men,200,65,"London, Wil",JR-3,Baylor,20.72,Texas Invitational,"Apr 13, 2018",48,False
2018,D1,men,200,66,"Walker , Jelani",FR-1,Kentucky,20.73,Florida Relays,"Mar 29, 2018",48,False
2018,D1,men,200,66,"Trimble, Jamiel",SR-4,Air Force,20.73,Home Depot Clyde Littlefield Texas Relays,"Mar 28, 2018",48,False
2018,D1,men,200,66,"Clark, Ryan",JR-3,Florida,20.73,SEC Outdoor Track and Field Championships,"May 11, 2018",48,False
